product,stars,user
/reviews/reeses-peanut-butter-cups-miniatures-76,5,georgiac6
/reviews/reeses-peanut-butter-cups-miniatures-76,5,lesha1984
/reviews/reeses-peanut-butter-cups-miniatures-76,5,kitkatkittikat
/reviews/reeses-peanut-butter-cups-miniatures-76,5,rachaeltirrell-6d40710e
/reviews/reeses-peanut-butter-cups-miniatures-76,5,katelync19
/reviews/reeses-peanut-butter-cups-miniatures-76,5,saraht67
/reviews/reeses-peanut-butter-cups-miniatures-76,5,rosiiemacdonald
/reviews/reeses-peanut-butter-cups-miniatures-76,5,mikaylas13
/reviews/reeses-peanut-butter-cups-miniatures-76,5,novocaineprincess
/reviews/reeses-peanut-butter-cups-miniatures-76,5,anjalikahachali
/reviews/reeses-peanut-butter-cups-miniatures-76,5,magentared
/reviews/reeses-peanut-butter-cups-miniatures-76,5,mamikakez
/reviews/reeses-peanut-butter-cups-miniatures-76,4,aquarianbeautiemua
/reviews/reeses-peanut-butter-cups-miniatures-76,5,chloesa8b2
/reviews/reeses-peanut-butter-cups-miniatures-76,5,sierram5971
/reviews/reeses-peanut-butter-cups-miniatures-76,4,elenam2
/reviews/reeses-peanut-butter-cups-miniatures-76,5,maryheislerbunch
/reviews/reeses-peanut-butter-cups-miniatures-76,5,naifields
/reviews/reeses-peanut-butter-cups-miniatures-76,5,lindsaytc81c
/reviews/reeses-peanut-butter-cups-miniatures-76,4,shant
/reviews/reeses-peanut-butter-cups-miniatures-76,5,monicas1cb3
/reviews/reeses-peanut-butter-cups-miniatures-76,5,alaynaa
/reviews/reeses-peanut-butter-cups-miniatures-76,5,jessig924d
/reviews/reeses-peanut-butter-cups-miniatures-76,5,mary-joya
/reviews/reeses-peanut-butter-cups-miniatures-76,5,kaylap5311
/reviews/reeses-peanut-butter-cups-miniatures-76,5,popcornhead
/reviews/reeses-peanut-butter-cups-miniatures-76,5,oliviav6
/reviews/reeses-peanut-butter-cups-miniatures-76,5,samanthag4edd
/reviews/reeses-peanut-butter-cups-miniatures-76,5,julieh2
/reviews/reeses-peanut-butter-cups-miniatures-76,5,duenorth18
/reviews/reeses-peanut-butter-cups-miniatures-76,5,spidermeg
/reviews/reeses-peanut-butter-cups-miniatures-76,5,trishaa2
/reviews/reeses-peanut-butter-cups-miniatures-76,5,chancyb18
/reviews/reeses-peanut-butter-cups-miniatures-76,5,doglov3r
/reviews/reeses-peanut-butter-cups-miniatures-76,4,michellec19bd
/reviews/reeses-peanut-butter-cups-miniatures-76,5,habiba65060
/reviews/reeses-peanut-butter-cups-miniatures-76,5,jordanm4b31
